area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4,15018.0
Super built-up  Area,1st Block Jayanagar,1630.0,3.0,2.0,194.0,3,11902.0
Super built-up  Area,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3,12533.0
Built-up  Area,1st Block Jayanagar,1200.0,2.0,0.0,130.0,3,10833.0
Super built-up  Area,1st Block Jayanagar,1235.0,2.0,2.0,148.0,2,11984.0
Super built-up  Area,1st Block Jayanagar,2750.0,4.0,0.0,413.0,4,15018.0
Super built-up  Area,1st Block Jayanagar,2450.0,4.0,2.0,368.0,4,15020.0
Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3,8907.0
Built-up  Area,1st Phase JP Nagar,1500.0,5.0,0.0,85.0,5,5667.0
Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3,10169.0
Super built-up  Area,1st Phase JP Nagar,2059.0,3.0,2.0,225.0,3,10928.0
Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2,7174.0
Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2,8635.0
Plot  Area,1st Phase JP Nagar,1566.0,2.0,0.0,180.0,2,11494.0
Built-up  Area,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1,5952.0
Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3,8239.0
Super built-up  Area,1st Phase JP Nagar,2180.0,3.0,2.0,210.0,3,9633.0
Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,7500.0
Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,0.0,86.0,2,7167.0
Built-up  Area,1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2,6098.0
Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3,8426.0
Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2,7054.0
Super built-up  Area,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2,8333.0
Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3,3500.0
Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,2nd Phase Judicial Layout,900.0,2.0,2.0,41.0,2,4556.0
Super built-up  Area,2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3,4105.0
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0
Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0
Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4,14667.0
Plot  Area,2nd Stage Nagarbhavi,3000.0,8.0,3.0,451.0,6,15033.0
Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,3.0,450.0,6,18750.0
Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4,14815.0
Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4,18750.0
Plot  Area,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4,15333.0
Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2,4643.0
Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3,5512.0
Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2,5259.0
Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2,4364.0
